rank,rank_change,title,revenue,revenue_change,profits,expenses,profit_change,assets,market_value,employees,ceo_title,sector,industry,years_on_fortune_500,city,state
1,0,Walmart,"500,343",3.00%,"9,862.00",490481,-27.70%,"$204,522","$263,563","2,300,000","President, Chief Executive Officer &  Director",Retailing,General Merchandisers,24,Bentonville,AR
2,2,Exxon Mobil,"244,363",17.40%,"19,710.00",224653,151.40%,"$348,691","$316,157","71,200",Chairman &  Chief Executive Officer,Energy,Petroleum Refining,24,Irving,TX
3,-1,Berkshire Hathaway,"242,137",8.30%,"44,940.00",197197,86.70%,"$702,095","$492,008","377,000","Chairman, President &  Chief Executive Officer",Financials,Insurance: Property and Casualty (Stock),24,Omaha,NE
4,-1,Apple,"229,234",6.30%,"48,351.00",180883,5.80%,"$375,319","$851,318","123,000",Chairman &  Chief Executive Officer,Technology,"Computers, Office Equipment",24,Cupertino,CA
5,1,UnitedHealth Group,"201,159",8.80%,"10,558.00",190601,50.50%,"$139,058","$207,080","260,000",Chairman &  Chief Executive Officer,Health Care,Health Care: Insurance and Managed Care,24,Minnetonka,MN
6,-1,McKesson,"198,533",3.10%,"5,070.00",193463,124.50%,"$60,969","$29,067","64,500","Chairman, President &  Chief Executive Officer",Wholesalers,Wholesalers: Health Care,24,SF,CA
7,0,CVS Health,"184,765",4.10%,"6,622.00",178143,24.50%,"$95,131","$63,114","203,000","President, Chief Executive Officer &  Director",Health Care,Health Care: Pharmacy and Other Services,24,Woonsocket,RI
8,4,Amazon.com,"177,866",30.80%,"3,033.00",174833,27.90%,"$131,310","$700,668","566,000","Chairman, President &  Chief Executive Officer",Retailing,Internet Services and Retailing,17,Seattle,WA
9,0,AT&T,"160,546",-2.00%,"29,450.00",131096,127.00%,"$444,097","$218,946","254,000","Chairman, President &  Chief Executive Officer",Telecommunications,Telecommunications,24,Dallas,TX
10,-2,General Motors,"157,311",-5.50%,"-3,864.00",161175,-141.00%,"$212,482","$50,972","180,000",Chairman &  Chief Executive Officer,Motor Vehicles &  Parts,Motor Vehicles and Parts,24,Detroit,MI
